Unnamed: 0;Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose
-11.518.143.629.406.200;-13.673.088.482.463.200;female;0.1469491804436178;own;rich;moderate;-0.6005185177948642;-0.8216359290989554;furniture/equipment
-1.148.350.259.593.430;-0.9275465787730462;female;0.1469491804436178;rent;little;;0.24837335706640246;0.2569530922366421;furniture/equipment
-11.448.861.562.462.400;-0.3998318554051079;male;0.1469491804436178;own;little;moderate;-0.4736277907801112;0.2569530922366421;business
-11.414.220.528.990.500;-0.22392694761579512;male;0.1469491804436178;rent;little;little;-0.8227545117564568;-0.4897623840726178;car
-11.379.579.495.518.600;-0.8395941248783899;female;0.1469491804436178;own;little;;-0.88903542223623;-0.738667542842371;furniture/equipment
-11.344.938.462.046.700;-0.13597449372113873;female;1.677.669.810.064.630;own;little;moderate;-0.4279045958502142;0.2569530922366421;furniture/equipment
-11.310.297.428.574.800;-0.22392694761579512;male;0.1469491804436178;own;little;moderate;-0.6582927873574473;-10.705.410.878.687.000;radio/TV
-11.275.656.395.102.900;-0.8395941248783899;male;0.1469491804436178;own;little;little;0.05059395574173156;0.008047933466888799;education
-112.410.153.616.311;15.351.221.302.773.300;female;1.677.669.810.064.630;own;;;149.353.292.132.011;0.7547634097761486;car
-112.063.743.281.592;0.5676451374361124;male;0.1469491804436178;own;little;little;-0.2460751462452748;-0.738667542842371;furniture/equipment
-11.171.733.294.687.300;14.471.696.763.826.700;male;0.1469491804436178;own;quite rich;little;-10.396.738.551.448.000;-12.364.778.603.818.700;radio/TV
-11.137.092.261.215.400;-0.3998318554051079;male;1.677.669.810.064.630;rent;little;;-0.4637033763767227;-0.738667542842371;radio/TV
-11.102.451.227.743.500;25.905.515.770.132.000;male;0.1469491804436178;own;little;little;-0.9570885495737512;0.008047933466888799;car
-11.067.810.194.271.600;-0.6636892170890771;male;0.1469491804436178;own;little;;22.332.562.377.441.000;12.525.737.273.156.500;business
-11.033.169.160.799.700;-0.4877843092997643;male;1.677.669.810.064.630;own;little;moderate;0.41956950552485417;12.525.737.273.156.500;business
-1.099.852.812.732.780;0.3917402296467996;male;-13.837.714.491.773.900;own;;little;-0.575707481786393;0.008047933466888799;car
-1.096.388.709.385.590;12.712.647.685.933.600;male;0.1469491804436178;own;rich;;0.17925689961423252;0.2569530922366421;furniture/equipment
-10.929.246.060.384.000;0.03993041406817406;male;0.1469491804436178;own;little;moderate;-0.8461477742787297;-0.2408572253028645;car
-10.894.605.026.912.100;-0.3998318554051079;male;0.1469491804436178;own;little;;-0.6774327294211251;-0.4897623840726178;radio/TV
-10.859.963.993.440.200;3.382.123.662.065.110;female;1.677.669.810.064.630;free;little;moderate;0.6584643379492774;-0.9875727016121243;car
-10.825.322.959.968.300;28.544.089.386.971.700;male;-29.144.920.787.984.100;free;little;moderate;-0.7430047531577991;-0.4067939978160333;car
-10.790.681.926.496.400;-13.673.088.482.463.200;male;0.1469491804436178;own;moderate;little;-0.9205808823041435;-0.738667542842371;radio/TV
-10.756.040.893.024.500;-0.22392694761579512;female;0.1469491804436178;own;little;moderate;-0.009661417421698642;-0.2408572253028645;furniture/equipment
-1.072.139.985.955.260;16.230.745.841.719.800;male;1.677.669.810.064.630;own;rich;;0.4677738040555983;0.2569530922366421;business
-10.686.758.826.080.700;-0.13597449372113873;male;-13.837.714.491.773.900;free;moderate;moderate;0.20300460550805502;22.481.943.623.946.600;business
-10.652.117.792.608.800;0.03993041406817406;male;0.1469491804436178;own;little;moderate;0.22817008488807586;0.5058582510063954;business
-10.617.476.759.136.900;-0.5757367631944207;male;0.1469491804436178;rent;little;;-0.4123090875020322;-12.364.778.603.818.700;radio/TV
-10.582.835.725.665.000;-1.279.356.394.351.670;male;0.1469491804436178;rent;moderate;moderate;-0.08515785556176118;1.999.289.203.624.910;radio/TV
-10.548.194.692.193.100;-0.13597449372113873;female;1.677.669.810.064.630;own;little;moderate;-0.627456214032633;-0.9875727016121243;education
-10.513.553.658.721.200;-0.6636892170890771;female;0.1469491804436178;own;little;;-0.6696349752470342;-12.364.778.603.818.700;radio/TV
-1.047.891.262.524.930;-0.7516416709837335;female;0.1469491804436178;rent;moderate;moderate;-0.8224000683849072;-0.738667542842371;furniture/equipment
-10.444.271.591.777.400;0.03993041406817406;male;0.1469491804436178;free;;moderate;-0.18121200925169992;0.2569530922366421;car
-10.409.630.558.305.500;0.3917402296467996;male;1.677.669.810.064.630;own;little;moderate;0.363567452820019;-0.2408572253028645;furniture/equipment
-10.374.989.524.833.600;14.471.696.763.826.700;male;0.1469491804436178;own;quite rich;;-0.827716718958151;-0.9875727016121243;education
-10.340.348.491.361.700;-0.7516416709837335;male;-13.837.714.491.773.900;own;little;little;-0.7454858567586463;-0.738667542842371;car
-10.305.707.457.889.800;-0.8395941248783899;male;0.1469491804436178;own;little;;0.6542110174906823;0.5058582510063954;business
-10.271.066.424.417.900;-1.279.356.394.351.670;male;0.1469491804436178;rent;little;little;-0.8397677935908371;-0.738667542842371;education
-1.023.642.539.094.600;0.21583532185748686;male;-13.837.714.491.773.900;own;little;;-0.6295828742619306;-0.738667542842371;car
-10.201.784.357.474.100;0.21583532185748686;male;1.677.669.810.064.630;free;little;little;26.057.762.212.427.200;0.7547634097761486;car
